Encounter,Book role,Dungeon role,Duel Master translation,Preserve
Flying Guardians,Creature combat,Idol/emerald defence,Two small sequential or multi-target Duel Master encounters,Preserve restricted-position flavour visually.
Giant Fly,Creature combat with escape,Optional hazard,1–2 slot fast Duel Master encounter,Keep escape route when book allows it.
Cave Trolls,Parallel combat with Throm,Companion set-piece,John duels one while Throm visibly handles the other,Throm's outcome is authored; John's battle is interactive.
Mirror Demon,Monster + environmental solutions,Signature puzzle-combat,Only launch Duel Master if player chooses direct combat,Ring/smash-mirrors solutions remain valid.
Bloodbeast,High-danger monster with special weakness,Knowledge-sensitive encounter,Multi-slot Duel Master boss with pre-battle advantage if weakness learned,Do not erase tongue/eye clue interactions.
Troglodytes,Tribe / pursuit / ritual,Traversal-social hazard,Run of the Arrow and river escape stay traversal; direct fight can use representative formation encounter,Do not reduce whole tribe to one random monster.
Medusa,Lethal gaze/test,Trap/monster set-piece,Primarily environmental/choice challenge,No need to force Duel Master combat.
Poison Ivy,Extortion/social encounter,NPC hazard,Dialogue/payment/escape; optional Duel Master only on attack,Keep personality and Sourbelly conversation possibilities.
Rock Grub,Fight or retreat,Environmental monster,2–3 slot Duel Master encounter,Blind/heat-sensing flavour can inform behaviour.
Pit Fiend,Major creature combat,Boss-like obstacle,3–4 slot Duel Master battle,"Use book difficulty as relative tuning signal, not visible Skill/Stamina."
Manticore,Major final monster combat,Gate to Igbut,4-slot Duel Master boss,Winning leads immediately to final Trialmaster sequence.
Throm,Forced contestant fight,Emotional climax,Full Duel Master battle,Wounded/delirious; no villain rewrite.
Igbut gem lock,Logic puzzle,Final test,Use Duel Master visual language but preserve three gems / positional feedback,This is already a Mastermind-like puzzle in the book.
