cast_id,bank_id,beat_type,source_text,worldview,context_fit,conviction_tier,branch,john,npc_reaction,scores
E17A,BANK_04240FC6F6B4,NORMAL_END,The workshop opened without the relationship becoming part of the collateral.,monarchist,3,1,,A strong ruler ensures the workshop's success. The relationship should remain separate.,"The miner nods, respecting John's wisdom.","{""A"": -1, ""C"": -1, ""D"": 0, ""G"": 0, ""M"": 3, ""R"": 0, ""S"": 0}"
E17A,BANK_04240FC6F6B4,NORMAL_END,The workshop opened without the relationship becoming part of the collateral.,anarchist,2,1,,Let the workshop thrive on its own merits. Don't mix business with personal feelings.,The miner considers John's words carefully.,"{""A"": 3, ""C"": 0, ""D"": 1, ""G"": -1, ""M"": -1, ""R"": 0, ""S"": 0}"
E17A,BANK_04240FC6F6B4,NORMAL_END,The workshop opened without the relationship becoming part of the collateral.,religious,3,1,,God has a plan for the workshop. Our relationship should not interfere.,"The miner listens, feeling reassured by John's faith.","{""A"": 0, ""C"": -1, ""D"": 1, ""G"": 0, ""M"": 0, ""R"": 3, ""S"": -1}"
E17A,BANK_04240FC6F6B4,NORMAL_END,The workshop opened without the relationship becoming part of the collateral.,guildist,2,1,,"The workshop is a business opportunity. Let's focus on profit, not personal feelings.","The miner thinks about John's words, sensing an opportunity.","{""A"": -1, ""C"": 0, ""D"": -1, ""G"": 3, ""M"": 0, ""R"": 0, ""S"": 0}"
E17A,BANK_04240FC6F6B4,NORMAL_END,The workshop opened without the relationship becoming part of the collateral.,arcane,3,1,,The workshop's success depends on our magical abilities. The relationship should reflect that.,The miner feels a strange sense of destiny in John's words.,"{""A"": 0, ""C"": 0, ""D"": -1, ""G"": 0, ""M"": -1, ""R"": -1, ""S"": 3}"
E17A,BANK_04240FC6F6B4,NORMAL_END,The workshop opened without the relationship becoming part of the collateral.,druidic,3,1,,The workshop must be in harmony with nature. Our relationship should reflect that.,"The miner thinks about John's words, feeling a connection to the land.","{""A"": 1, ""C"": 0, ""D"": 3, ""G"": -1, ""M"": 0, ""R"": 1, ""S"": -1}"
E17A,BANK_04240FC6F6B4,NORMAL_END,The workshop opened without the relationship becoming part of the collateral.,cracked,4,3,,This feels like a scripted scene. The relationship shouldn't be real if the workshop isn't.,"The miner stares at John, feeling a strange detachment.","{""A"": 0, ""C"": 3, ""D"": 0, ""G"": 0, ""M"": -1, ""R"": -1, ""S"": 1}"
E17A,BANK_23614BA0C4C9,OPENING,"Reeve says the licence problem is numbers, not age. Miner doesn't entirely believe that.",monarchist,3,2,,Reeve is correct. The throne must maintain order and the licence problem should be addressed with due diligence.,"Reeve nods, pleased that someone understands his point.","{""A"": -1, ""C"": -1, ""D"": 0, ""G"": 0, ""M"": 3, ""R"": 0, ""S"": 0}"
E17A,BANK_23614BA0C4C9,OPENING,"Reeve says the licence problem is numbers, not age. Miner doesn't entirely believe that.",anarchist,2,2,,The licence problem isn't about numbers or age. It's about power and control.,"Miner looks thoughtful, considering John's words.","{""A"": 3, ""C"": 0, ""D"": 1, ""G"": -1, ""M"": -1, ""R"": 0, ""S"": 0}"
E17A,BANK_23614BA0C4C9,OPENING,"Reeve says the licence problem is numbers, not age. Miner doesn't entirely believe that.",religious,3,2,,The gods have a plan for this licence problem. We must trust in their wisdom.,Reeve looks uncertain but nods respectfully.,"{""A"": 0, ""C"": -1, ""D"": 1, ""G"": 0, ""M"": 0, ""R"": 3, ""S"": -1}"
E17A,BANK_23614BA0C4C9,OPENING,"Reeve says the licence problem is numbers, not age. Miner doesn't entirely believe that.",guildist,3,2,,The licence problem is a matter of contracts and negotiations. Let's find a solution that benefits everyone.,Miner looks impressed by John's pragmatism.,"{""A"": -1, ""C"": 0, ""D"": -1, ""G"": 3, ""M"": 0, ""R"": 0, ""S"": 0}"
E17A,BANK_23614BA0C4C9,OPENING,"Reeve says the licence problem is numbers, not age. Miner doesn't entirely believe that.",arcane,3,2,,The licence problem is a puzzle to be solved with knowledge and skill. Let's find the right solution.,Reeve looks intrigued by John's magical thinking.,"{""A"": 0, ""C"": 0, ""D"": -1, ""G"": 0, ""M"": -1, ""R"": -1, ""S"": 3}"
E17A,BANK_23614BA0C4C9,OPENING,"Reeve says the licence problem is numbers, not age. Miner doesn't entirely believe that.",druidic,3,2,,The licence problem is a disruption of nature's balance. We must restore harmony.,"Miner looks thoughtful, considering John's words.","{""A"": 1, ""C"": 0, ""D"": 3, ""G"": -1, ""M"": 0, ""R"": 1, ""S"": -1}"
E17A,BANK_23614BA0C4C9,OPENING,"Reeve says the licence problem is numbers, not age. Miner doesn't entirely believe that.",cracked,4,3,,This licence problem feels like a scripted event in an endless loop. I wonder if it's even real.,Reeve looks confused and slightly offended by John's strange statement.,"{""A"": 0, ""C"": 3, ""D"": 0, ""G"": 0, ""M"": -1, ""R"": -1, ""S"": 1}"
E17A,BANK_43735A14E7B0,OPENING,Distiller looks less worried about the birthday than the business plan attached to it.,monarchist,2,2,,"The throne is a pillar of tradition and order. Perhaps the business plan should guide their union, not their emotions.","L frowns, considering John's words.","{""A"": -1, ""C"": -1, ""D"": 0, ""G"": 0, ""M"": 3, ""R"": 0, ""S"": 0}"
