cast_id,bank_id,beat_type,source_text,worldview,context_fit,conviction_tier,branch,john,npc_reaction,scores
E36B,BANK_00A78B7F666B,OPENING,Healer has a safe house ready.,monarchist,3,1,,The healer's safe house... a noble duty fulfilled. Let us hope it serves our cause.,"The elder nods, respect in his eyes.","{""A"": -1, ""C"": -1, ""D"": 0, ""G"": 0, ""M"": 3, ""R"": 0, ""S"": 0}"
E36B,BANK_00A78B7F666B,OPENING,Healer has a safe house ready.,anarchist,2,1,,A safe house? Who needs a master when we have each other?,The elder frowns but says nothing.,"{""A"": 3, ""C"": 0, ""D"": 1, ""G"": -1, ""M"": -1, ""R"": 0, ""S"": 0}"
E36B,BANK_00A78B7F666B,OPENING,Healer has a safe house ready.,religious,2,1,,God's will has provided us a safe haven. Let us use it wisely.,The elder bows his head in agreement.,"{""A"": 0, ""C"": -1, ""D"": 1, ""G"": 0, ""M"": 0, ""R"": 3, ""S"": -1}"
E36B,BANK_00A78B7F666B,OPENING,Healer has a safe house ready.,guildist,3,1,,A safe house... a valuable asset. Let's make sure it serves our interests.,The elder looks thoughtful.,"{""A"": -1, ""C"": 0, ""D"": -1, ""G"": 3, ""M"": 0, ""R"": 0, ""S"": 0}"
E36B,BANK_00A78B7F666B,OPENING,Healer has a safe house ready.,arcane,3,1,,A safe house... a strategic advantage. Let's use it to our advantage.,The elder looks surprised but nods.,"{""A"": 0, ""C"": 0, ""D"": -1, ""G"": 0, ""M"": -1, ""R"": -1, ""S"": 3}"
E36B,BANK_00A78B7F666B,OPENING,Healer has a safe house ready.,druidic,2,1,,A safe house... a balancing act. Let's protect it as we would the land.,The elder looks thoughtful and approving.,"{""A"": 1, ""C"": 0, ""D"": 3, ""G"": -1, ""M"": 0, ""R"": 1, ""S"": -1}"
E36B,BANK_00A78B7F666B,OPENING,Healer has a safe house ready.,cracked,4,1,,A safe house... a plot device. Let's use it to our advantage.,The elder looks confused and concerned.,"{""A"": 0, ""C"": 3, ""D"": 0, ""G"": 0, ""M"": -1, ""R"": -1, ""S"": 1}"
E36B,BANK_260D23F57F05,DECISION,"Healer says Scavenger 2 can transport Householder and child through the market road, but the route is blocked and chaotic.",monarchist,2,1,A,"The market road may be chaotic now, but with proper leadership, we can ensure a safe passage for the Householder.",Bianca nods. 'I'll inform Scavenger 2 to wait for you at dawn.' She looks relieved.,"{""A"": -1, ""C"": -1, ""D"": 0, ""G"": 0, ""M"": 3, ""R"": 0, ""S"": 0}"
E36B,BANK_260D23F57F05,DECISION,"Healer says Scavenger 2 can transport Householder and child through the market road, but the route is blocked and chaotic.",anarchist,3,1,B,Let's clear the road ourselves. We can't let fear control our actions.,Bianca raises an eyebrow but says nothing. She trusts John's determination.,"{""A"": 3, ""C"": 0, ""D"": 1, ""G"": -1, ""M"": -1, ""R"": 0, ""S"": 0}"
E36B,BANK_260D23F57F05,DECISION,"Healer says Scavenger 2 can transport Householder and child through the market road, but the route is blocked and chaotic.",religious,2,1,A,We should pray for a safe journey and wait for the morning. The gods will guide us.,Bianca nods solemnly. 'I'll prepare a prayer for you both.' She sounds sincere.,"{""A"": 0, ""C"": -1, ""D"": 1, ""G"": 0, ""M"": 0, ""R"": 3, ""S"": -1}"
